parameter,lcoe_at_min,lcoe_at_max,range,tier,wacc_scenario
WACC_government_pct,79.8912101587928,114.97231685042208,35.08110669162927,2,government
capacity_factor_large_LWR_pct,99.73977075566094,91.16000552936755,8.57976522629339,1,government
decommissioning_pct_capex_large_LWR,92.87888713433676,93.44815713448051,0.5692700001437458,3,government
WACC_commercial_pct,138.33061422335572,187.42945133627276,49.09883711291704,2,commercial
capacity_factor_large_LWR_pct,165.34990868774267,151.12626062858206,14.22364805916061,1,commercial
decommissioning_pct_capex_large_LWR,154.3936634749064,154.50177033736026,0.10810686245386592,3,commercial
