scenario,wacc_scenario,lcoe_usd_mwh
ap1000,government,97.81036580483071
candu_ec6,government,100.44452639965083
ap1000,government,100.20670049994824
candu_ec6,government,102.99825147480163
ap1000,government,88.15583871177382
candu_ec6,government,97.35932050803312
ap1000,government,100.02850411964472
candu_ec6,government,100.57682917707216
ap1000,government,89.5575315638091
candu_ec6,government,93.1958833754101
ap1000,government,90.58211025548617
candu_ec6,government,103.66760324517978
ap1000,government,91.40576123629624
candu_ec6,government,102.66213918987064
ap1000,government,94.03759594695053
candu_ec6,government,93.66963115668106
ap1000,government,101.64829502938186
candu_ec6,government,93.94044694543761
ap1000,government,100.78244472604565
candu_ec6,government,97.73506818247934
ap1000,government,95.21996093717688
candu_ec6,government,108.35529267797595
ap1000,government,94.13561475114228
candu_ec6,government,94.10222348858059
ap1000,government,103.46009857998312
candu_ec6,government,91.36064272749994
ap1000,government,111.5191665712965
candu_ec6,government,106.76981818705362
ap1000,government,96.269001980868
candu_ec6,government,101.6431301300674
ap1000,government,90.08925453556691
candu_ec6,government,103.81901360579346
ap1000,government,96.36205679320642
candu_ec6,government,97.29717738454545
ap1000,government,98.05520236296334
candu_ec6,government,107.43371703349008
ap1000,government,104.12534773825092
candu_ec6,government,98.04588556244096
ap1000,government,95.15785197122085
candu_ec6,government,94.66883374210421
ap1000,government,96.82247486931688
candu_ec6,government,108.02626770051236
ap1000,government,94.3807467745331
candu_ec6,government,105.02204117818098
ap1000,government,99.09117602458171
candu_ec6,government,99.04466225216441
ap1000,government,95.98071478393202
candu_ec6,government,100.55076762175403
ap1000,government,93.1814302259575
candu_ec6,government,101.96984261485211
ap1000,government,97.43418531758269
candu_ec6,government,93.68913599420992
ap1000,government,105.6056490406358
candu_ec6,government,107.47018325364537
ap1000,government,92.13287107673068
candu_ec6,government,100.38955983498033
ap1000,government,102.8189939768324
candu_ec6,government,93.55733679035112
ap1000,government,97.45442609125604
candu_ec6,government,96.48710171554268
ap1000,government,112.76571352047117
candu_ec6,government,100.49667744751143
ap1000,government,110.11097241533491
candu_ec6,government,97.02442475844879
ap1000,government,104.2695342000506
candu_ec6,government,103.11080679135719
ap1000,government,97.43260653818854
candu_ec6,government,102.5715571342222
ap1000,government,99.72618799567098
candu_ec6,government,108.2989201153106
ap1000,government,97.97529253433665
candu_ec6,government,105.86754389842416
ap1000,government,101.98596057793029
candu_ec6,government,102.08615030834329
ap1000,government,98.0031028609352
candu_ec6,government,91.34311473271624
ap1000,government,98.12852247465442
candu_ec6,government,102.86667072785838
ap1000,government,101.93127084397824
candu_ec6,government,103.92669649488022
ap1000,government,102.09285369231227
candu_ec6,government,100.5979909819889
ap1000,government,102.98820397974823
candu_ec6,government,101.12789152636603
ap1000,government,109.19180387264899
candu_ec6,government,103.19497506508766
ap1000,government,94.1814813024051
candu_ec6,government,106.66035748062637
ap1000,government,97.39780075905311
candu_ec6,government,98.47904462989538
ap1000,government,95.24905643237564
candu_ec6,government,93.0594890760784
ap1000,government,89.93112098857334
candu_ec6,government,94.96588273681992
ap1000,government,91.17693534346375
candu_ec6,government,95.58397420290329
ap1000,government,102.71958343561244
candu_ec6,government,97.24164754918729
ap1000,government,108.04220544034548
candu_ec6,government,94.14540347093018
ap1000,government,110.33432957948406
candu_ec6,government,109.43726197233714
ap1000,government,87.77888477894415
candu_ec6,government,97.39692765695897
ap1000,government,104.26355293256168
candu_ec6,government,106.16015984367068
ap1000,government,97.40471737654434
candu_ec6,government,101.10913795570602
ap1000,government,108.1793702552349
candu_ec6,government,96.49479221288938
ap1000,government,92.39252380726045
candu_ec6,government,107.27702654728905
ap1000,government,104.67101090992483
candu_ec6,government,94.51705128091318
ap1000,government,87.79852055933749
candu_ec6,government,98.45418467034864
ap1000,government,91.41036736916391
candu_ec6,government,95.25510486193653
ap1000,government,100.03228792968615
candu_ec6,government,91.55282270390654
ap1000,government,99.6293143435809
candu_ec6,government,98.70186530230663
ap1000,government,104.92349824278979
candu_ec6,government,98.24115580597912
ap1000,government,100.29818296159262
candu_ec6,government,93.05772055915807
ap1000,government,92.51060420973572
candu_ec6,government,105.89953081110667
ap1000,government,101.77236295341052
candu_ec6,government,98.24526020744435
ap1000,government,97.32806719719008
candu_ec6,government,101.42681509885162
ap1000,government,100.07751505676778
candu_ec6,government,102.04457236093424
ap1000,government,94.14321800065645
candu_ec6,government,100.24367705589651
ap1000,government,100.29378092376164
candu_ec6,government,107.47981295122263
ap1000,government,103.7842158854857
candu_ec6,government,95.91572168736758
ap1000,government,96.38386811974432
candu_ec6,government,92.93376578585408
ap1000,government,85.58036971784068
candu_ec6,government,88.05611469487454
ap1000,government,86.94671145739561
candu_ec6,government,109.08484458041691
ap1000,government,100.02378042319542
candu_ec6,government,102.33353237507517
ap1000,government,96.99511085841357
candu_ec6,government,100.08020733708025
ap1000,government,90.60545659398109
candu_ec6,government,104.38330547698845
ap1000,government,87.9259761013405
candu_ec6,government,101.83828331229019
ap1000,government,110.72087976935671
candu_ec6,government,105.36357329238145
ap1000,government,107.84293382814282
candu_ec6,government,94.24499978344085
ap1000,government,93.06790460501708
candu_ec6,government,103.50178072262864
ap1000,government,105.11320069398454
candu_ec6,government,107.22963821962927
ap1000,government,103.78015154181645
candu_ec6,government,95.68120627388882
ap1000,government,102.99224617871525
candu_ec6,government,102.29993750346277
ap1000,government,85.62551190883447
candu_ec6,government,104.61139090336184
ap1000,government,96.16323457597815
candu_ec6,government,101.58617808550794
ap1000,government,90.5537804562921
