parameter,lcoe_at_min,lcoe_at_max,range,tier,wacc_scenario
WACC_government_pct,43.79197832902925,57.824421005680954,14.032442676651705,2,government
capacity_factor_large_LWR_pct,52.56684922181263,48.04496971886102,4.521879502951613,1,government
D2O_total_upfront_capex_usd_per_1000MWe,48.39988220537375,50.78335331263991,2.3834711072661605,3,government
decommissioning_pct_capex_large_LWR,48.987049119246805,49.21475711930431,0.22770800005750402,3,government
WACC_commercial_pct,67.16773995485447,86.80727480002125,19.63953484516678,2,commercial
capacity_factor_large_LWR_pct,78.81090439464533,72.0314717585468,6.779432636098534,1,commercial
D2O_total_upfront_capex_usd_per_1000MWe,72.3461138661773,76.658902216257,4.3127883500797,3,commercial
decommissioning_pct_capex_large_LWR,73.59295965547467,73.63620240045623,0.04324274498155489,3,commercial
