parameter,lcoe_at_min,lcoe_at_max,range,tier,wacc_scenario
WACC_government_pct,82.34623637141284,117.42734306304206,35.081106691629216,2,government
capacity_factor_large_LWR_pct,102.36809293623055,93.56223547935053,8.80585745688002,1,government
decommissioning_pct_capex_large_LWR,95.33391334695673,95.90318334710047,0.5692700001437316,3,government
WACC_commercial_pct,140.7856404359758,189.8844775488927,49.0988371129169,2,commercial
capacity_factor_large_LWR_pct,167.97823086831235,153.52849057856508,14.449740289747268,1,commercial
decommissioning_pct_capex_large_LWR,156.84868968752642,156.95679654998028,0.10810686245386592,3,commercial
