parameter,S1,S1_conf,ST,ST_conf,tier,wacc_scenario
WACC_government_pct,0.9234666970711872,0.09758409807831096,0.9247456936296679,0.08426485680949737,2,government
capacity_factor_large_LWR_pct,0.04903465645191182,0.026619625061033537,0.04988999005290083,0.0062146316140885395,1,government
ap1000_fuel_usd_per_mwh,0.02570203192580704,0.01898931002764125,0.02570636964335601,0.0029622877754619083,1,government
decommissioning_pct_capex_large_LWR,0.0003693806317451633,0.001735811189370097,0.0002304079623039078,2.8066770216199696e-05,3,government
WACC_commercial_pct,0.9112387780473251,0.09749400703198914,0.9124972948596395,0.08454940299881601,2,commercial
capacity_factor_large_LWR_pct,0.0741499755552188,0.032849414592671995,0.07497686216318832,0.009280886793526512,1,commercial
ap1000_fuel_usd_per_mwh,0.012981561435990453,0.013433051138716774,0.012986078787596935,0.0015015918947481747,1,commercial
decommissioning_pct_capex_large_LWR,2.883814048091261e-05,0.00021674540475990171,3.724083802038081e-06,4.982933025819212e-07,3,commercial
