parameter,lcoe_at_min,lcoe_at_max,range,tier,wacc_scenario
WACC_government_pct,42.87685463993298,56.90929731658464,14.032442676651662,2,government
capacity_factor_large_LWR_pct,51.58712856642719,47.14952610910014,4.437602457327053,1,government
D2O_total_upfront_capex_usd_per_1000MWe,47.48475851627746,49.86822962354361,2.3834711072661534,3,government
decommissioning_pct_capex_large_LWR,48.07192543015052,48.299633430208026,0.22770800005750402,3,government
WACC_commercial_pct,66.25261626575819,85.89215111092489,19.639534845166693,2,commercial
capacity_factor_large_LWR_pct,77.83118373925993,71.13602814878594,6.695155590473988,1,commercial
D2O_total_upfront_capex_usd_per_1000MWe,71.43099017708104,75.74377852716074,4.3127883500797,3,commercial
decommissioning_pct_capex_large_LWR,72.67783596637841,72.72107871135997,0.04324274498155489,3,commercial
